"ORIGINAL_ITEM_TEXT","FIDO","FIDO_DESCRIPTION","BRAND_ID","BRAND_NAME","BUSINESS_ID","BUSINESS_NAME","CATEGORY_ID","CATEGORY_NAME","CATEGORY_ID_HIERARCHY","CATEGORY_NAME_HIERARCHY"
"380z dawn ultra apple","7e91e5b3-9c25-49c8-b61a-dfbcb0fd1663","Dawn Antibacterial Hand Soap Ultra Dishwashing Liquid - Apple Blossom","ci126brpor5coc70pfsg","Dawn","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"Dawn Platinum Plus PowerSuds Liquid Dish Soap, 51.5 oz. Refill","14d40f6a-6cb3-4663-ae81-1cad978454c7","Dawn Platinum Plus Power Suds Dishwashing Liquid - 51.5 Oz","ci126brpor5coc70pfsg","Dawn","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"s gain ultro omigin","153878c0-f98c-400e-9041-c61d65a3e5cf","Gain Dishwashing Detergent","chh7o13por5cphbhts9g","Gain","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"s gain powder origi","153878c0-f98c-400e-9041-c61d65a3e5cf","Gain Dishwashing Detergent","chh7o13por5cphbhts9g","Gain","638fa3996cb443bf6ffdfb07","Procter & Gamble","77a30298-5842-47fe-811b-8bec48b5bb2e","Dish Soap","87b8ae7a5a8b43f1a4eea1fdb3bc068c.a55443a388524b1c818b10046614496c.9f5837e7acb64858882979e097e1850e.77a30298584247fe811b8bec48b5bb2e","Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Dish Soap"
"OWYN Only What You Need Pro Elite Vegan 30g Plant-Based High Protein Powder, Zero Sugar (Dark Chocolate, 2.9 lbs)","062554b9-ce21-453d-b3ec-49f2536ac944","Owyn Elite Pro Plant Protein Powder - Chocolate - 30 Gram","cq2mb47kgvjd631npvd0","OWYN","651abf549969bcbf8bd465e2","SIMPLY GOOD FOODS USA INC.","b684795b-97cf-4af0-abcd-6c593fe3721c","Protein Powder","841401c766854ce69aceccf3603fa69b.84011112b553402a9950998bf7affd63.b684795b97cf4af0abcd6c593fe3721c","Beverages > Drink Mixes > Protein Powder"
"coca cola zero 20.oz","264a4929-7cc8-4a1c-a060-e44181651b7d","Coca-cola Zero 20 Oz Bottle","5332f5f6e4b03c9a25efd0b2","Coca-Cola","61dc4a3b5806c5140572e820","The Coca-Cola Company","cd5283d0-6a1c-4c92-bd15-1c80582e4251","Zero Sugar Cola","841401c766854ce69aceccf3603fa69b.b3028295932d49dfafbc52dce9cce8c7.8f6db41a79524c98a8efabea47d4bf04.cd5283d06a1c4c92bd151c80582e4251","Beverages > Carbonated Soft Drinks > Cola > Zero Sugar Cola"
"coca-cola zero subar 20oz","264a4929-7cc8-4a1c-a060-e44181651b7d","Coca-cola Zero 20 Oz Bottle","5332f5f6e4b03c9a25efd0b2","Coca-Cola","61dc4a3b5806c5140572e820","The Coca-Cola Company","cd5283d0-6a1c-4c92-bd15-1c80582e4251","Zero Sugar Cola","841401c766854ce69aceccf3603fa69b.b3028295932d49dfafbc52dce9cce8c7.8f6db41a79524c98a8efabea47d4bf04.cd5283d06a1c4c92bd151c80582e4251","Beverages > Carbonated Soft Drinks > Cola > Zero Sugar Cola"
"coca cola zerd","14c5dfb0-d1c4-4bc6-bc5e-68ae24b371cc","COCA COLA ZERO SUGAR","5332f5f6e4b03c9a25efd0b2","Coca-Cola","61dc4a3b5806c5140572e820","The Coca-Cola Company","cd5283d0-6a1c-4c92-bd15-1c80582e4251","Zero Sugar Cola","841401c766854ce69aceccf3603fa69b.b3028295932d49dfafbc52dce9cce8c7.8f6db41a79524c98a8efabea47d4bf04.cd5283d06a1c4c92bd151c80582e4251","Beverages > Carbonated Soft Drinks > Cola > Zero Sugar Cola"
"coca-cola zero sugar 200z","fecaa7bf-deaa-4df9-96cb-207b8681edaa","Coca Cola Zero Sugar 20 Oz Bottle","5332f5f6e4b03c9a25efd0b2","Coca-Cola","61dc4a3b5806c5140572e820","The Coca-Cola Company","cd5283d0-6a1c-4c92-bd15-1c80582e4251","Zero Sugar Cola","841401c766854ce69aceccf3603fa69b.b3028295932d49dfafbc52dce9cce8c7.8f6db41a79524c98a8efabea47d4bf04.cd5283d06a1c4c92bd151c80582e4251","Beverages > Carbonated Soft Drinks > Cola > Zero Sugar Cola"
"Brunswick Sardines, in Soybean Oil (3.75 oz)","de09595e-7559-4825-8acd-ce1b78a639e9","Brunswick Sardines In Soybean Oil - 3.75 Oz","cn1va1sk3a5d70vntm10","Brunswick Seafood","65c3ef0833072cbecf0a3873","Bumble Bee Seafoods, LLC","9042db04-9c99-489f-835a-03cbdeac93fa","Other Packaged Seafood","34415ca7fa1746c29f06a009c58af79f.12a89b184c01404894b20705e0a45f6b.9042db049c99489f835a03cbdeac93fa","Pantry > Packaged Seafood > Other Packaged Seafood"
"Member's Mark Half and Half, 32 fl. oz.","9603f081-8f90-469c-b3c7-b7ca1171395c","Members Mark Natural Pecan Halves-32 Oz","cjn1arp7msfcon3mbngg","Member's Mark","61f04e9656ee275f82389bad","Sam's Club","689289ea-f1d6-4c4d-905a-2c339ae51323","Other Nuts","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.689289eaf1d64c4d905a2c339ae51323","Snacks > Nuts & Seeds > Other Nuts"
"walnut meats","2a24f3cc-4af9-44da-ba62-9d395fd65f59","Regular Walnuts","cmjc5msk3a5colegvfl0","Unbranded","65258da79fd71612f696ac0a","Placeholder Manufacturer","689289ea-f1d6-4c4d-905a-2c339ae51323","Other Nuts","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.689289eaf1d64c4d905a2c339ae51323","Snacks > Nuts & Seeds > Other Nuts"
"walnuts half pcs","22d17b67-3c39-495b-a82c-a06946d4fba2","Walnuts Halves & Pieces","cmjc5msk3a5colegvfl0","Unbranded","65258da79fd71612f696ac0a","Placeholder Manufacturer","689289ea-f1d6-4c4d-905a-2c339ae51323","Other Nuts","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.689289eaf1d64c4d905a2c339ae51323","Snacks > Nuts & Seeds > Other Nuts"
"Planters Roasted Pecans Nuts (7.25 oz)","3426ac9d-323c-4026-a61d-d7de0db2977a","Planters Roasted Pecan Nuts-7.25 Oz Canister Party Snacks Plant-based Protein","588b9f8fe4b02187f85cdada","Planters","637406b8dbc8f5bbae9c88fc","Hormel Foods","689289ea-f1d6-4c4d-905a-2c339ae51323","Other Nuts","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.689289eaf1d64c4d905a2c339ae51323","Snacks > Nuts & Seeds > Other Nuts"
"rumford corn6.5z","7903e962-9d25-41b1-8c37-f1a481003d40","Rumford Corn Starch-6.5 Oz","cl9t540gv20somv280i0","Rumford","63b5bab78790997b8fa55d44","B&G Foods","30fe6d5a-e782-4400-bc96-c02462c131ee","Starches & Thickeners","34415ca7fa1746c29f06a009c58af79f.09f3deccaa93460d936c0ddf06b055a3.30fe6d5ae7824400bc96c02462c131ee","Pantry > Cooking & Baking > Starches & Thickeners"
"Short Sleeve Non-Shirred Maternity T-Shirt - Isabel Maternity by Ingrid & Isabel White XL: Cotton Modal Blend, Slim Fit, Crew Neck","0e93553c-0492-49ae-90a3-27b16744edb0","Short Sleeve Non-Shirred Maternity T-Shirt - Isabel Maternity By Ingrid & Isabel - White - Xl","cjobjhp7msfcolhodjjg","Ingrid & Isabel","67802cba73ea131f32522d43","Ingrid & Isabel, LLC","ec4e6b7b-3a76-4723-bb3d-e686f5caed70","Maternity Clothing","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.ec4e6b7b3a764723bb3de686f5caed70","Apparel & Accessories > Clothing > Maternity Clothing"
"Justice Girls EDF Fleece Hoodie , Sizes XS - XLP","f5ac08bd-d344-4154-82e0-2b025a0e4ff5","Justice Girls Fleece Hoodie-Sizes Xs-Xlp","cjod0017msfd70c5t380","JUSTICE","64dce7dc789b65d5d36b36fd","SPORTS PRODUCT OF AMERICA","8f759a37-cb72-4de9-ba20-490301f865b3","Sweaters & Sweatshirts","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.8f759a37cb724de9ba20490301f865b3","Apparel & Accessories > Clothing > Sweaters & Sweatshirts"
"tasty jasmine rice","56f2de33-b0bd-42fb-a6b9-b0050ac16533","Tasty Bite Rice","ck08hfq5ip7sot0oubmg","Tasty Bite","64dce6e4bb9143bca6832447","Mars Food","2ef88e44-efbc-45e9-b32c-3e40cc8f766f","Rice Blends","34415ca7fa1746c29f06a009c58af79f.91d3f006deed455383bb1719543a1689.2ef88e44efbc45e9b32c3e40cc8f766f","Pantry > Rice & Grains > Rice Blends"
"George Mens and Big Mens V Neck Tee, Sizes S-3XL","3dc20a51-41ed-43ac-a350-e92fe4b385d8","George Men'S And Big Men'S Shirt Jacket-Sizes Up To 3Xl","cjob0t17msfcol7km4cg","GEORGE","64dce5fd67453017a3504270","FLYNN ENTERPRISES LLC","27accb64-abca-4b23-bb70-df90f9c281f2","Tops","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.1b00dae06d9341949662deaa712a4e0e.27accb64abca4b23bb70df90f9c281f2","Apparel & Accessories > Clothing > Outerwear > Tops"
"SheaMoisture Antiperspirant Deodorant Stick Fresh Coconut & Hibiscus 2 Count for 48HR Sweat & Odor Protection with No Parabens & No Mineral Oil 2.6 oz","01ed02c5-05f9-4fd5-8d6a-590b2ad96185","Shea Moisture Women's Whole Body Invisible Deodorant Stick Coconut & Hibiscus - 2.6 Oz","5e6ef9dd9c50da1291a6d079","SheaMoisture","5332f5f6e4b03c9a25efd0b4","Unilever","293dc023-a6c1-4ebc-8457-08556d6b724d","Gender Neutral Deodorant & Antiperspirant","4846eb89111f4e099ffdb36167cf7a72.0357724226904bad916ceb7d6c2e0ee2.293dc023a6c14ebc845708556d6b724d","Health & Wellness > Deodorant & Antiperspirant > Gender Neutral Deodorant & Antiperspirant"
"hostess mix candy 100z e3","53a688ea-798b-4261-9d90-a2ac8a2bcaae","Hostess Mix Flavored Candy","ctvch67kgvjd4hljmjt0","Sweet Smiles","63d82dbb405d7796769840d5","Dollar General","ea684083-0548-4675-a01a-0f31341cde27","Candy Variety Pack","e79009b2dadc47299361705972daca86.1e63bbb5d0b84dca9eb1121967de8dc8.ea68408305484675a01a0f31341cde27","Snacks > Candy > Candy Variety Pack"
"vita coco juice crv","4e020f0e-d0e4-4d5c-80c9-8e71c2dca09a","Vita Coco COCONUT JUICE","cn19d8kk3a5comkouqp0","Vita Coco","65c295c28186923dd5b57a0c","The Vita Coco Company","11839f40-be6e-425e-a89e-e2acea9e143e","Coconut Water","841401c766854ce69aceccf3603fa69b.87459c516dc140649fb451e399187f2c.11839f40be6e425ea89ee2acea9e143e","Beverages > Fruit & Vegetable Juices > Coconut Water"
"o pistachios","27ea89bb-450f-44a5-a241-2c3f669d2d3a","Pistachios","cmjc5msk3a5colegvfl0","Unbranded","65258da79fd71612f696ac0a","Placeholder Manufacturer","bb747f91-6c8a-4af1-8bbc-231e37988f8e","Pistachios","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.bb747f916c8a4af18bbc231e37988f8e","Snacks > Nuts & Seeds > Pistachios"
"prsl pistachios la","27ea89bb-450f-44a5-a241-2c3f669d2d3a","Pistachios","cmjc5msk3a5colegvfl0","Unbranded","65258da79fd71612f696ac0a","Placeholder Manufacturer","bb747f91-6c8a-4af1-8bbc-231e37988f8e","Pistachios","e79009b2dadc47299361705972daca86.e27d28fb5e4849b693733a92246c2f87.bb747f916c8a4af18bbc231e37988f8e","Snacks > Nuts & Seeds > Pistachios"
"OPI Repair Mode Bond Building Nail Serum | Keratin Protein Nail Strengthening Treatment | For Stronger Nails & Nail Growth","18589052-7df2-45f3-8e14-075e648cd7fb","Opi Nail Treatment Repair Mode - 0.3 Fl Oz","ck08j325ip7sold0vo20","OPI","6571df54d265baaa303ee210","Wella International Operations Switzerland Sàrl","aa405d60-f506-4e89-b7d6-166a64a0ecd9","Nail Treatments","7daced086b1e4be3923133ee60e810a7.d8fe13219ea74ea3846b8bd292e5f693.aa405d60f5064e89b7d6166a64a0ecd9","Beauty > Nail Care > Nail Treatments"
"Eva NYC Freshen Up Invisible Dry Shampoo, 5.3 oz","df6855e6-7723-41c2-8706-385237c683fa","Unknown Eva Nyc Freshen Up Invisible Dry Shampoo-5.3 Oz","co81fg1k0h9sor049omg","EVA NYC","660c8ae81e88128b9f0706f7","EVA NYC","7fd0ca1a-27cf-45a1-8725-46d0fbf002e3","Dry Shampoo","4846eb89111f4e099ffdb36167cf7a72.e9535290dc9645bebd4a6e687880a059.7fd0ca1a27cf45a1872546d0fbf002e3","Health & Wellness > Hair Care > Dry Shampoo"
"batiste dark dry sham 3.810z","742c1e56-b9b0-49ed-a143-ad41b3173747","Batiste Dry Shampoo For Dark Hair - 3.81 Oz - Pack Size Single","cjoagt17msfcokli9c5g","BATISTE","62e2fc69f654cb0c4bc4d67e","Church & Dwight","7fd0ca1a-27cf-45a1-8725-46d0fbf002e3","Dry Shampoo","4846eb89111f4e099ffdb36167cf7a72.e9535290dc9645bebd4a6e687880a059.7fd0ca1a27cf45a1872546d0fbf002e3","Health & Wellness > Hair Care > Dry Shampoo"
"batiste dry shampoo rose","49ec194c-d6f5-4a57-86c2-59c5591f9416","BATISTE DRY SHAMPOO","cjoagt17msfcokli9c5g","BATISTE","62e2fc69f654cb0c4bc4d67e","Church & Dwight","7fd0ca1a-27cf-45a1-8725-46d0fbf002e3","Dry Shampoo","4846eb89111f4e099ffdb36167cf7a72.e9535290dc9645bebd4a6e687880a059.7fd0ca1a27cf45a1872546d0fbf002e3","Health & Wellness > Hair Care > Dry Shampoo"
"dove dry sh pepsi wld chry volume zero 1 20z","87fda783-3f78-423c-be2b-a67af2ee07e9","Dove DRY SHAMPOO","592486bee410d61fcea3d128","Dove","5332f5f6e4b03c9a25efd0b4","Unilever","7fd0ca1a-27cf-45a1-8725-46d0fbf002e3","Dry Shampoo","4846eb89111f4e099ffdb36167cf7a72.e9535290dc9645bebd4a6e687880a059.7fd0ca1a27cf45a1872546d0fbf002e3","Health & Wellness > Hair Care > Dry Shampoo"
"quak inst grts butter","538579e1-e328-45c3-92f5-a63853008d4f","Quaker INSTANT GRITS","585b0b23e4b03e62d1ce0e99","Quaker","5332f5fbe4b03c9a25efd0ba","Pepsico","36251279-c376-43c1-83c6-9e1bd0e2f441","Cereal","f293aee6b60d42709f297c5f6109fcf3.8f4febffd83340ad829cac92bd65ae23.36251279c37643c183c69e1bd0e2f441","Restaurant > À La Carte Item > Cereal"
"Food Lion Bacon Pieces, Real","ba3e91cd-9a4c-4405-bf8f-c1d03d4d2718","Food Lion Bacon Bits Real","ck08eeq5ip7sot0oub9g","Food Lion","6392543e30239a07c0e8aaae","Ahold Delhaize","8ede8b87-5ada-463a-9fc5-3b30f62825f1","Bacon & Bacon Bits","f293aee6b60d42709f297c5f6109fcf3.9729f0e8d34940ad869c8a5a6dbb8542.8ede8b875ada463a9fc53b30f62825f1","Restaurant > Toppings & Fillings > Bacon & Bacon Bits"
"George Men's & Big Men's Cargo Shorts, 10.5"" Inseam","a93c2e8c-8bf6-45d4-a2f1-dc1cbf5c594f","George Men'S And Big Men'S 10.5 Inch Inseam Cargo Shorts","cjob0t17msfcol7km4cg","GEORGE","64dce5fd67453017a3504270","FLYNN ENTERPRISES LLC","32082db0-abb2-472c-a44c-090b956b6f66","Bottoms","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.32082db0abb2472ca44c090b956b6f66","Apparel & Accessories > Clothing > Bottoms"
"Athletic Works Women's Dri More Active Bermuda Shorts, Sizes S-XXL","2df1e4d7-c5b2-4f20-885e-61ef9c6dbcdf","Athletic Works Women'S Bermuda Shorts - Size L","cjobjqp7msfcol7km560","ATHLETIC WORKS","63125d262840e263a349c779","Walmart Inc.","32082db0-abb2-472c-a44c-090b956b6f66","Bottoms","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.32082db0abb2472ca44c090b956b6f66","Apparel & Accessories > Clothing > Bottoms"
"Women's Relaxed Fit Super Soft Cargo Joggers - A New Day Gray M: Mid Rise, Pull-On, Knit Fabric","63adcd34-eb8b-44d0-879f-a13dd1c9f7a5","Women's Relaxed Fit Super Soft Cargo Joggers - Gray - M - Mid Rise - Pull-on - Knit Fabric","cjod2q97msfcolhodlsg","A NEW DAY","63068f0c2426542ddf3b8e7f","Target Corporation","32082db0-abb2-472c-a44c-090b956b6f66","Bottoms","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.32082db0abb2472ca44c090b956b6f66","Apparel & Accessories > Clothing > Bottoms"
"Boys' Flat Front 'At the Knee' Chino Shorts - Cat & Jack Brown 5: Adjustable Waistband, Side Pocket","78f7d7f1-c658-4637-94b6-fe35436ab915","Boys Flat Front At The Knee Chino Shorts - Cat & Jack - Brown - 5 - Adjustable Waistband - Side Pocket","ck08mbi5ip7sot0ouc7g","Cat & Jack","63068f0c2426542ddf3b8e7f","Target Corporation","32082db0-abb2-472c-a44c-090b956b6f66","Bottoms","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.32082db0abb2472ca44c090b956b6f66","Apparel & Accessories > Clothing > Bottoms"
"leviboys 8-20","61a1588e-e083-405a-b4cf-dc616bba7405","Levi's Boys Jogger Pants-8-20","ck08grq5ip7sok93lm80","LEVI'S","64dce6bd02d96ae93a94f24d","LEVI STRAUSS & CO.","32082db0-abb2-472c-a44c-090b956b6f66","Bottoms","d94c5525bb3846af8a13e1716396825d.76ff60be15a04cdda6e5a9f0bfcd3ec1.32082db0abb2472ca44c090b956b6f66","Apparel & Accessories > Clothing > Bottoms"
